Proyecto;Zona;Precio Contado (US$);Cuota Inicial (US$);Cuota Mensual (US$);AÏos Financiamiento;Superficie (mì);Tipo Venta
El Encanto;Cotoca;6900;104;112;10;300;Contado/Credito
Santa Rosa Fase 3;Cotoca;12000;180;195;10;300;Contado/Credito
Santa Rosa Fase 2;Cotoca;14000;238;228;10;350;Contado/Credito
Tamarindo;Cotoca;18000;-;-;-;300;Solo Contado
El Porvenir;Cotoca;3600;54;59;10;300;Contado/Credito
Celina San Jorge;Norte Santa Cruz;29280;1172;562;7;240;Contado/Credito
Celina Praderas del Norte;Norte Santa Cruz;37750;-;-;-;250;Solo Contado
Urubo del Norte;Urubo;3600;-;-;-;300;Solo Contado
Celina Clara Chuchio;Sat?lite;33600;-;-;-;300;Solo Contado
Celina 7 Fase 3;Sat?lite;7500;113;122;10;300;Contado/Credito
Celina 8;Sat?lite;41700;-;-;-;300;Solo Contado
CaÏaveral;Montero;6300;95;102,5;10;300;Contado/Credito
Los Jardines;Montero;6750;102;110;10;250;Contado/Credito
Celina Muyurina;Montero;18000;-;-;-;250;Solo Contado
Celina 5;Montero;14001;-;-;-;300;Solo Contado
